filename,order,species
passeriformes_lanius_collaris_00013.jpg,Passeriformes,Lanius Collaris
psittaciformes_poicephalus_meyeri_00022.jpg,Psittaciformes,Poicephalus Meyeri
columbiformes_treron_sieboldii_00008.jpg,Columbiformes,Treron Sieboldii
piciformes_melanerpes_formicivorus_00002.jpg,Piciformes,Melanerpes Formicivorus
gaviiformes_gavia_adamsii_00046.jpg,Gaviiformes,Gavia Adamsii
accipitriformes_accipiter_nisus_00249.jpg,Accipitriformes,Accipiter Nisus
passeriformes_turdus_pilaris_00016.jpg,Passeriformes,Turdus Pilaris
charadriiformes_larus_dominicanus_00010.jpg,Charadriiformes,Larus Dominicanus
passeriformes_carduelis_cannabina_00246.jpg,Passeriformes,Carduelis Cannabina
passeriformes_copsychus_malabaricus_00004.jpg,Passeriformes,Copsychus Malabaricus
strigiformes_asio_otus_00045.jpg,Strigiformes,Asio Otus
passeriformes_carduelis_carduelis_00070.jpg,Passeriformes,Carduelis Carduelis
anseriformes_aythya_fuligula_00037.jpg,Anseriformes,Aythya Fuligula
charadriiformes_haematopus_ostralegus_00438.jpg,Charadriiformes,Haematopus Ostralegus
strigiformes_strix_aluco_00134.jpg,Strigiformes,Strix Aluco
galliformes_tetrao_urogallus_00060.jpg,Galliformes,Tetrao Urogallus
columbiformes_phaps_chalcoptera_00013.jpg,Columbiformes,Phaps Chalcoptera
columbiformes_treron_sieboldii_00034.jpg,Columbiformes,Treron Sieboldii
accipitriformes_circus_cyaneus_00256.jpg,Accipitriformes,Circus Cyaneus
charadriiformes_burhinus_oedicnemus_00004.jpg,Charadriiformes,Burhinus Oedicnemus
passeriformes_oenanthe_oenanthe_00016.jpg,Passeriformes,Oenanthe Oenanthe
coraciiformes_megaceryle_torquata_00022.jpg,Coraciiformes,Megaceryle Torquata
passeriformes_sitta_frontalis_00039.jpg,Passeriformes,Sitta Frontalis
anseriformes_anas_platyrhynchos_00180.jpg,Anseriformes,Anas Platyrhynchos
passeriformes_carduelis_flavirostris_00008.jpg,Passeriformes,Carduelis Flavirostris
galliformes_lagopus_mutus_00008.jpg,Galliformes,Lagopus Mutus
accipitriformes_accipiter_nisus_00248.jpg,Accipitriformes,Accipiter Nisus
charadriiformes_calidris_melanotos_00034.jpg,Charadriiformes,Calidris Melanotos
anseriformes_callonetta_leucophrys_00033.jpg,Anseriformes,Callonetta Leucophrys
anseriformes_anser_fabalis_00081.jpg,Anseriformes,Anser Fabalis
anseriformes_anser_anser_00109.jpg,Anseriformes,Anser Anser
strigiformes_asio_otus_00150.jpg,Strigiformes,Asio Otus
charadriiformes_pluvialis_squatarola_00106.jpg,Charadriiformes,Pluvialis Squatarola
anseriformes_anas_crecca_00150.jpg,Anseriformes,Anas Crecca
accipitriformes_accipiter_gentilis_00218.jpg,Accipitriformes,Accipiter Gentilis
passeriformes_carduelis_cannabina_00256.jpg,Passeriformes,Carduelis Cannabina
strigiformes_bubo_bubo_00038.jpg,Strigiformes,Bubo Bubo
anseriformes_aix_galericulata_00095.jpg,Anseriformes,Aix Galericulata
accipitriformes_circus_aeruginosus_00063.jpg,Accipitriformes,Circus Aeruginosus
passeriformes_loxia_leucoptera_00040.jpg,Passeriformes,Loxia Leucoptera
strigiformes_tyto_alba_00039.jpg,Strigiformes,Tyto Alba
strigiformes_athene_noctua_00019.jpg,Strigiformes,Athene Noctua
passeriformes_lanius_collurio_00020.jpg,Passeriformes,Lanius Collurio
passeriformes_carduelis_cannabina_00188.jpg,Passeriformes,Carduelis Cannabina
passeriformes_phoenicurus_moussieri_00018.jpg,Passeriformes,Phoenicurus Moussieri
bucerotiformes_tockus_erythrorhynchus_00042.jpg,Bucerotiformes,Tockus Erythrorhynchus
strigiformes_bubo_scandiacus_00010.jpg,Strigiformes,Bubo Scandiacus
passeriformes_poecile_montanus_00016.jpg,Passeriformes,Poecile Montanus
anseriformes_bucephala_clangula_00011.jpg,Anseriformes,Bucephala Clangula
charadriiformes_pluvialis_apricaria_00084.jpg,Charadriiformes,Pluvialis Apricaria
charadriiformes_larus_fuscus_00119.jpg,Charadriiformes,Larus Fuscus
anseriformes_chenonetta_jubata_00106.jpg,Anseriformes,Chenonetta Jubata
passeriformes_tyrannus_dominicensis_00021.jpg,Passeriformes,Tyrannus Dominicensis
anseriformes_chenonetta_jubata_00218.jpg,Anseriformes,Chenonetta Jubata
caprimulgiformes_caprimulgus_climacurus_00147.jpg,Caprimulgiformes,Caprimulgus Climacurus
accipitriformes_accipiter_nisus_00469.jpg,Accipitriformes,Accipiter Nisus
passeriformes_monticola_solitarius_00036.jpg,Passeriformes,Monticola Solitarius
passeriformes_carduelis_cannabina_00088.jpg,Passeriformes,Carduelis Cannabina
anseriformes_aythya_ferina_00004.jpg,Anseriformes,Aythya Ferina
apodiformes_coeligena_violifer_00000.jpg,Apodiformes,Coeligena Violifer
accipitriformes_sagittarius_serpentarius_00004.jpg,Accipitriformes,Sagittarius Serpentarius
anseriformes_callonetta_leucophrys_00096.jpg,Anseriformes,Callonetta Leucophrys
strigiformes_aegolius_funereus_00092.jpg,Strigiformes,Aegolius Funereus
anseriformes_melanitta_nigra_00026.jpg,Anseriformes,Melanitta Nigra
passeriformes_carduelis_cannabina_00125.jpg,Passeriformes,Carduelis Cannabina
phoenicopteriformes_phoenicopterus_roseus_00082.jpg,Phoenicopteriformes,Phoenicopterus Roseus
accipitriformes_buteo_buteo_00102.jpg,Accipitriformes,Buteo Buteo
gaviiformes_gavia_adamsii_00031.jpg,Gaviiformes,Gavia Adamsii
accipitriformes_circus_pygargus_00010.jpg,Accipitriformes,Circus Pygargus
anseriformes_anas_penelope_00007.jpg,Anseriformes,Anas Penelope
charadriiformes_tringa_totanus_00010.jpg,Charadriiformes,Tringa Totanus
accipitriformes_aquila_pennata_00006.jpg,Accipitriformes,Aquila Pennata
passeriformes_rhodopechys_obsoleta_00004.jpg,Passeriformes,Rhodopechys Obsoleta
passeriformes_carpodacus_roseus_00003.jpg,Passeriformes,Carpodacus Roseus
coraciiformes_coracias_cyanogaster_00065.jpg,Coraciiformes,Coracias Cyanogaster
coraciiformes_alcedo_atthis_00134.jpg,Coraciiformes,Alcedo Atthis
anseriformes_aix_galericulata_00203.jpg,Anseriformes,Aix Galericulata
coraciiformes_alcedo_atthis_00050.jpg,Coraciiformes,Alcedo Atthis
apodiformes_apus_apus_00088.jpg,Apodiformes,Apus Apus
accipitriformes_buteo_augur_00036.jpg,Accipitriformes,Buteo Augur
galliformes_phasianus_colchicus_00025.jpg,Galliformes,Phasianus Colchicus
charadriiformes_haematopus_ostralegus_00161.jpg,Charadriiformes,Haematopus Ostralegus
charadriiformes_pluvialis_squatarola_00130.jpg,Charadriiformes,Pluvialis Squatarola
galliformes_crossoptilon_mantchuricum_00008.jpg,Galliformes,Crossoptilon Mantchuricum
columbiformes_streptopelia_orientalis_00023.jpg,Columbiformes,Streptopelia Orientalis
passeriformes_setophaga_pinus_00021.jpg,Passeriformes,Setophaga Pinus
passeriformes_pitta_sordida_00002.jpg,Passeriformes,Pitta Sordida
piciformes_picus_canus_00045.jpg,Piciformes,Picus Canus
accipitriformes_circus_cyaneus_00241.jpg,Accipitriformes,Circus Cyaneus
anseriformes_cygnus_columbianus_00008.jpg,Anseriformes,Cygnus Columbianus
accipitriformes_accipiter_nisus_00347.jpg,Accipitriformes,Accipiter Nisus
psittaciformes_poicephalus_meyeri_00016.jpg,Psittaciformes,Poicephalus Meyeri
pelecaniformes_ardea_cinerea_00000.jpg,Pelecaniformes,Ardea Cinerea
passeriformes_lagonosticta_senegala_00017.jpg,Passeriformes,Lagonosticta Senegala
anseriformes_anas_acuta_00154.jpg,Anseriformes,Anas Acuta
columbiformes_columba_oenas_00029.jpg,Columbiformes,Columba Oenas
galliformes_lyrurus_tetrix_00019.jpg,Galliformes,Lyrurus Tetrix
accipitriformes_milvus_milvus_00020.jpg,Accipitriformes,Milvus Milvus
passeriformes_carduelis_cabaret_00018.jpg,Passeriformes,Carduelis Cabaret
anseriformes_anas_platyrhynchos_00142.jpg,Anseriformes,Anas Platyrhynchos
charadriiformes_charadrius_alexandrinus_00034.jpg,Charadriiformes,Charadrius Alexandrinus
charadriiformes_calidris_canutus_00091.jpg,Charadriiformes,Calidris Canutus
anseriformes_anas_crecca_00005.jpg,Anseriformes,Anas Crecca
strigiformes_otus_lempiji_00014.jpg,Strigiformes,Otus Lempiji
charadriiformes_haematopus_ostralegus_00185.jpg,Charadriiformes,Haematopus Ostralegus
