filename,order,species,class
strigiformes_strix_aluco_00029.jpg,Strigiformes,Strix Aluco,Strix Aluco
procellariiformes_calonectris_diomedea_00013.jpg,Procellariiformes,Calonectris Diomedea,Calonectris Diomedea
ciconiiformes_ciconia_nigra_00000.jpg,Ciconiiformes,Ciconia Nigra,Ciconia Nigra
anseriformes_anser_brachyrhynchus_00025.jpg,Anseriformes,Anser Brachyrhynchus,Anser Brachyrhynchus
strigiformes_athene_noctua_00107.jpg,Strigiformes,Athene Noctua,Athene Noctua
piciformes_picus_viridis_00014.jpg,Piciformes,Picus Viridis,Picus Viridis
charadriiformes_haematopus_ostralegus_00111.jpg,Charadriiformes,Haematopus Ostralegus,Haematopus Ostralegus
passeriformes_spinus_psaltria_00031.jpg,Passeriformes,Spinus Psaltria,Spinus Psaltria
anseriformes_aythya_fuligula_00074.jpg,Anseriformes,Aythya Fuligula,Aythya Fuligula
passeriformes_garrulus_glandarius_00181.jpg,Passeriformes,Garrulus Glandarius,Garrulus Glandarius
strigiformes_tyto_alba_00095.jpg,Strigiformes,Tyto Alba,Tyto Alba
apodiformes_apus_affinis_00007.jpg,Apodiformes,Apus Affinis,Apodidae
passeriformes_chloebia_gouldiae_00021.jpg,Passeriformes,Chloebia Gouldiae,Estrildidae
passeriformes_acrocephalus_schoenobaenus_00034.jpg,Passeriformes,Acrocephalus Schoenobaenus,Acrocephalus Schoenobaenus
strigiformes_athene_noctua_00019.jpg,Strigiformes,Athene Noctua,Athene Noctua
accipitriformes_gyps_fulvus_00006.jpg,Accipitriformes,Gyps Fulvus,Accipitridae
passeriformes_urocissa_erythroryncha_00007.jpg,Passeriformes,Urocissa Erythroryncha,Corvidae
passeriformes_podoces_hendersoni_00001.jpg,Passeriformes,Podoces Hendersoni,Corvidae
passeriformes_phoenicurus_phoenicurus_00009.jpg,Passeriformes,Phoenicurus Phoenicurus,Phoenicurus sp.
anseriformes_mergus_serrator_00068.jpg,Anseriformes,Mergus Serrator,Mergus Serrator
strigiformes_asio_otus_00145.jpg,Strigiformes,Asio Otus,Asio Otus
galliformes_alectoris_chukar_00008.jpg,Galliformes,Alectoris Chukar,Alectoris sp.
passeriformes_bombycilla_garrulus_00127.jpg,Passeriformes,Bombycilla Garrulus,Bombycilla Garrulus
charadriiformes_larus_fuscus_00001.jpg,Charadriiformes,Larus Fuscus,Larus Fuscus
charadriiformes_larus_crassirostris_00087.jpg,Charadriiformes,Larus Crassirostris,Larus Crassirostris
charadriiformes_haematopus_ostralegus_00094.jpg,Charadriiformes,Haematopus Ostralegus,Haematopus Ostralegus
passeriformes_bombycilla_garrulus_00055.jpg,Passeriformes,Bombycilla Garrulus,Bombycilla Garrulus
charadriiformes_tringa_glareola_00010.jpg,Charadriiformes,Tringa Glareola,Tringa sp.
anseriformes_chenonetta_jubata_00203.jpg,Anseriformes,Chenonetta Jubata,Chenonetta Jubata
caprimulgiformes_caprimulgus_europaeus_00093.jpg,Caprimulgiformes,Caprimulgus Europaeus,Caprimulgus Europaeus
piciformes_picus_viridis_00016.jpg,Piciformes,Picus Viridis,Picus Viridis
passeriformes_saxicola_rubetra_00003.jpg,Passeriformes,Saxicola Rubetra,Saxicola sp.
passeriformes_spinus_psaltria_00066.jpg,Passeriformes,Spinus Psaltria,Spinus Psaltria
passeriformes_griseotyrannus_aurantioatrocristatus_00016.jpg,Passeriformes,Griseotyrannus Aurantioatrocristatus,Tyrannidae
passeriformes_chloris_chloris_00224.jpg,Passeriformes,Chloris Chloris,Chloris Chloris
passeriformes_tyrannus_dominicensis_00013.jpg,Passeriformes,Tyrannus Dominicensis,Tyrannidae
anseriformes_aythya_valisineria_00051.jpg,Anseriformes,Aythya Valisineria,Aythya Valisineria
columbiformes_treron_sieboldii_00053.jpg,Columbiformes,Treron Sieboldii,Treron Sieboldii
passeriformes_acrocephalus_melanopogon_00028.jpg,Passeriformes,Acrocephalus Melanopogon,Acrocephalus sp.
accipitriformes_circus_pygargus_00031.jpg,Accipitriformes,Circus Pygargus,Circus Pygargus
coraciiformes_dacelo_novaeguineae_00001.jpg,Coraciiformes,Dacelo Novaeguineae,Alcedinidae
accipitriformes_circaetus_gallicus_00044.jpg,Accipitriformes,Circaetus Gallicus,Circaetus Gallicus
charadriiformes_charadrius_dubius_00082.jpg,Charadriiformes,Charadrius Dubius,Charadrius Dubius
anseriformes_anas_crecca_00167.jpg,Anseriformes,Anas Crecca,Anas Crecca
accipitriformes_circus_aeruginosus_00084.jpg,Accipitriformes,Circus Aeruginosus,Circus Aeruginosus
strigiformes_bubo_bubo_00007.jpg,Strigiformes,Bubo Bubo,Bubo Bubo
gruiformes_crex_crex_00085.jpg,Gruiformes,Crex Crex,Crex Crex
accipitriformes_accipiter_gentilis_00036.jpg,Accipitriformes,Accipiter Gentilis,Accipiter Gentilis
charadriiformes_chroicocephalus_ridibundus_00027.jpg,Charadriiformes,Chroicocephalus Ridibundus,Chroicocephalus Ridibundus
charadriiformes_chroicocephalus_ridibundus_00050.jpg,Charadriiformes,Chroicocephalus Ridibundus,Chroicocephalus Ridibundus
cuculiformes_cuculus_canorus_00044.jpg,Cuculiformes,Cuculus Canorus,Cuculus Canorus
accipitriformes_aquila_chrysaetos_00110.jpg,Accipitriformes,Aquila Chrysaetos,Aquila Chrysaetos
anseriformes_callonetta_leucophrys_00024.jpg,Anseriformes,Callonetta Leucophrys,Callonetta Leucophrys
anseriformes_netta_rufina_00006.jpg,Anseriformes,Netta Rufina,Anatidae
apodiformes_avocettula_recurvirostris_00004.jpg,Apodiformes,Avocettula Recurvirostris,Trochilidae
anseriformes_aix_sponsa_00105.jpg,Anseriformes,Aix Sponsa,Aix Sponsa
passeriformes_oenanthe_oenanthe_00007.jpg,Passeriformes,Oenanthe Oenanthe,Muscicapidae
anseriformes_branta_ruficollis_00024.jpg,Anseriformes,Branta Ruficollis,Branta sp.
charadriiformes_pluvialis_squatarola_00215.jpg,Charadriiformes,Pluvialis Squatarola,Pluvialis Squatarola
passeriformes_urocissa_erythroryncha_00003.jpg,Passeriformes,Urocissa Erythroryncha,Corvidae
charadriiformes_larus_dominicanus_00043.jpg,Charadriiformes,Larus Dominicanus,Larus Dominicanus
passeriformes_cyanocitta_cristata_00007.jpg,Passeriformes,Cyanocitta Cristata,Corvidae
passeriformes_certhia_brachydactyla_00013.jpg,Passeriformes,Certhia Brachydactyla,Certhia sp.
charadriiformes_sterna_hirundo_00030.jpg,Charadriiformes,Sterna Hirundo,Sterna Hirundo
accipitriformes_circus_cyaneus_00245.jpg,Accipitriformes,Circus Cyaneus,Circus Cyaneus
passeriformes_carduelis_carduelis_00189.jpg,Passeriformes,Carduelis Carduelis,Carduelis Carduelis
strigiformes_asio_flammeus_00070.jpg,Strigiformes,Asio Flammeus,Asio Flammeus
passeriformes_carduelis_carduelis_00012.jpg,Passeriformes,Carduelis Carduelis,Carduelis Carduelis
accipitriformes_circus_cyaneus_00217.jpg,Accipitriformes,Circus Cyaneus,Circus Cyaneus
charadriiformes_hydrocoloeus_minutus_00013.jpg,Charadriiformes,Hydrocoloeus Minutus,Hydrocoloeus Minutus
anseriformes_anser_albifrons_00050.jpg,Anseriformes,Anser Albifrons,Anser Albifrons
galliformes_crossoptilon_crossoptilon_00014.jpg,Galliformes,Crossoptilon Crossoptilon,Crossoptilon sp.
passeriformes_garrulus_glandarius_00291.jpg,Passeriformes,Garrulus Glandarius,Garrulus Glandarius
passeriformes_acrocephalus_scirpaceus_00124.jpg,Passeriformes,Acrocephalus Scirpaceus,Acrocephalus Scirpaceus
anseriformes_anser_albifrons_00091.jpg,Anseriformes,Anser Albifrons,Anser Albifrons
passeriformes_saxicola_caprata_00036.jpg,Passeriformes,Saxicola Caprata,Saxicola sp.
passeriformes_phylloscopus_collybita_00045.jpg,Passeriformes,Phylloscopus Collybita,Phylloscopus Collybita
coraciiformes_alcedo_atthis_00076.jpg,Coraciiformes,Alcedo Atthis,Alcedo Atthis
passeriformes_bombycilla_garrulus_00042.jpg,Passeriformes,Bombycilla Garrulus,Bombycilla Garrulus
caprimulgiformes_caprimulgus_climacurus_00068.jpg,Caprimulgiformes,Caprimulgus Climacurus,Caprimulgus Climacurus
charadriiformes_pluvialis_squatarola_00075.jpg,Charadriiformes,Pluvialis Squatarola,Pluvialis Squatarola
anseriformes_mergus_squamatus_00037.jpg,Anseriformes,Mergus Squamatus,Anatidae
passeriformes_podoces_hendersoni_00020.jpg,Passeriformes,Podoces Hendersoni,Corvidae
charadriiformes_calidris_canutus_00150.jpg,Charadriiformes,Calidris Canutus,Calidris Canutus
galliformes_crossoptilon_mantchuricum_00000.jpg,Galliformes,Crossoptilon Mantchuricum,Crossoptilon sp.
caprimulgiformes_caprimulgus_aegyptius_00023.jpg,Caprimulgiformes,Caprimulgus Aegyptius,Caprimulgus sp.
accipitriformes_accipiter_nisus_00065.jpg,Accipitriformes,Accipiter Nisus,Accipiter Nisus
passeriformes_paroaria_coronata_00008.jpg,Passeriformes,Paroaria Coronata,Thraupidae
charadriiformes_calidris_alpina_00236.jpg,Charadriiformes,Calidris Alpina,Calidris Alpina
passeriformes_lanius_excubitor_00060.jpg,Passeriformes,Lanius Excubitor,Lanius Excubitor
piciformes_dendrocopos_medius_00029.jpg,Piciformes,Dendrocopos Medius,Dendrocopos Medius
passeriformes_cyanocitta_cristata_00000.jpg,Passeriformes,Cyanocitta Cristata,Corvidae
caprimulgiformes_caprimulgus_aegyptius_00000.jpg,Caprimulgiformes,Caprimulgus Aegyptius,Caprimulgus sp.
passeriformes_loxia_pytyopsittacus_00012.jpg,Passeriformes,Loxia Pytyopsittacus,Fringillidae
strigiformes_glaucidium_passerinum_00002.jpg,Strigiformes,Glaucidium Passerinum,Strigidae
strigiformes_athene_noctua_00027.jpg,Strigiformes,Athene Noctua,Athene Noctua
passeriformes_chloris_chloris_00184.jpg,Passeriformes,Chloris Chloris,Chloris Chloris
ciconiiformes_ixobrychus_minutus_00022.jpg,Ciconiiformes,Ixobrychus Minutus,Ixobrychus Minutus
passeriformes_monticola_solitarius_00038.jpg,Passeriformes,Monticola Solitarius,Monticola Solitarius
accipitriformes_pandion_haliaetus_00055.jpg,Accipitriformes,Pandion Haliaetus,Pandion Haliaetus
galliformes_phasianus_colchicus_00012.jpg,Galliformes,Phasianus Colchicus,Phasianus Colchicus
passeriformes_sitta_europaea_00007.jpg,Passeriformes,Sitta Europaea,Sitta sp.
charadriiformes_numenius_phaeopus_00056.jpg,Charadriiformes,Numenius Phaeopus,Numenius Phaeopus
passeriformes_pycnonotus_barbatus_00022.jpg,Passeriformes,Pycnonotus Barbatus,Pycnonotus Barbatus
charadriiformes_actitis_hypoleucos_00083.jpg,Charadriiformes,Actitis Hypoleucos,Actitis Hypoleucos
charadriiformes_pluvialis_squatarola_00216.jpg,Charadriiformes,Pluvialis Squatarola,Pluvialis Squatarola
galliformes_tetrao_urogallus_00085.jpg,Galliformes,Tetrao Urogallus,Tetrao Urogallus
anseriformes_anas_platyrhynchos_00000.jpg,Anseriformes,Anas Platyrhynchos,Anas Platyrhynchos
passeriformes_sylvia_atricapilla_00009.jpg,Passeriformes,Sylvia Atricapilla,Sylvia sp.
gaviiformes_gavia_immer_00009.jpg,Gaviiformes,Gavia Immer,Gavia sp.
coraciiformes_alcedo_atthis_00029.jpg,Coraciiformes,Alcedo Atthis,Alcedo Atthis
accipitriformes_accipiter_nisus_00197.jpg,Accipitriformes,Accipiter Nisus,Accipiter Nisus
passeriformes_aegithalos_caudatus_00027.jpg,Passeriformes,Aegithalos Caudatus,Aegithalos Caudatus
passeriformes_sylvia_atricapilla_00037.jpg,Passeriformes,Sylvia Atricapilla,Sylvia sp.
galliformes_rheinardia_ocellata_00014.jpg,Galliformes,Rheinardia Ocellata,Phasianidae
charadriiformes_larus_dominicanus_00019.jpg,Charadriiformes,Larus Dominicanus,Larus Dominicanus
ciconiiformes_botaurus_stellaris_00077.jpg,Ciconiiformes,Botaurus Stellaris,Botaurus Stellaris
charadriiformes_calidris_alpina_00109.jpg,Charadriiformes,Calidris Alpina,Calidris Alpina
caprimulgiformes_caprimulgus_europaeus_00164.jpg,Caprimulgiformes,Caprimulgus Europaeus,Caprimulgus Europaeus
apodiformes_apus_apus_00016.jpg,Apodiformes,Apus Apus,Apus Apus
anseriformes_aythya_americana_00027.jpg,Anseriformes,Aythya Americana,Aythya sp.
accipitriformes_accipiter_gentilis_00283.jpg,Accipitriformes,Accipiter Gentilis,Accipiter Gentilis
anseriformes_chenonetta_jubata_00060.jpg,Anseriformes,Chenonetta Jubata,Chenonetta Jubata
apodiformes_archilochus_colubris_00009.jpg,Apodiformes,Archilochus Colubris,Trochilidae
charadriiformes_calidris_alpina_00047.jpg,Charadriiformes,Calidris Alpina,Calidris Alpina
anseriformes_spatula_clypeata_00000.jpg,Anseriformes,Spatula Clypeata,Spatula Clypeata
passeriformes_hippolais_icterina_00038.jpg,Passeriformes,Hippolais Icterina,Hippolais Icterina
apodiformes_selasphorus_rufus_00001.jpg,Apodiformes,Selasphorus Rufus,Trochilidae
columbiformes_oena_capensis_00026.jpg,Columbiformes,Oena Capensis,Columbidae
passeriformes_loxia_pytyopsittacus_00000.jpg,Passeriformes,Loxia Pytyopsittacus,Fringillidae
accipitriformes_accipiter_gentilis_00156.jpg,Accipitriformes,Accipiter Gentilis,Accipiter Gentilis
apodiformes_apus_affinis_00002.jpg,Apodiformes,Apus Affinis,Apodidae
passeriformes_lanius_meridionalis_00015.jpg,Passeriformes,Lanius Meridionalis,Lanius Meridionalis
gruiformes_crex_crex_00015.jpg,Gruiformes,Crex Crex,Crex Crex
anseriformes_melanitta_americana_00019.jpg,Anseriformes,Melanitta Americana,Melanitta sp.
galliformes_polyplectron_schleiermacheri_00008.jpg,Galliformes,Polyplectron Schleiermacheri,Polyplectron Schleiermacheri
passeriformes_pycnonotus_xanthopygos_00039.jpg,Passeriformes,Pycnonotus Xanthopygos,Pycnonotus sp.
accipitriformes_accipiter_nisus_00185.jpg,Accipitriformes,Accipiter Nisus,Accipiter Nisus
strigiformes_asio_flammeus_00142.jpg,Strigiformes,Asio Flammeus,Asio Flammeus
caprimulgiformes_nyctibius_griseus_00034.jpg,Caprimulgiformes,Nyctibius Griseus,Nyctibius Griseus
columbiformes_streptopelia_senegalensis_00001.jpg,Columbiformes,Streptopelia Senegalensis,Streptopelia sp.
passeriformes_sitta_neumayer_00013.jpg,Passeriformes,Sitta Neumayer,Sitta sp.
anseriformes_anas_platyrhynchos_00176.jpg,Anseriformes,Anas Platyrhynchos,Anas Platyrhynchos
anseriformes_aix_galericulata_00104.jpg,Anseriformes,Aix Galericulata,Aix Galericulata
passeriformes_cyanocitta_cristata_00015.jpg,Passeriformes,Cyanocitta Cristata,Corvidae
passeriformes_lanius_tigrinus_00008.jpg,Passeriformes,Lanius Tigrinus,Lanius sp.
passeriformes_hirundo_rustica_00087.jpg,Passeriformes,Hirundo Rustica,Hirundo Rustica
charadriiformes_calidris_alpina_00058.jpg,Charadriiformes,Calidris Alpina,Calidris Alpina
galliformes_phasianus_colchicus_00036.jpg,Galliformes,Phasianus Colchicus,Phasianus Colchicus
charadriiformes_haematopus_ostralegus_00041.jpg,Charadriiformes,Haematopus Ostralegus,Haematopus Ostralegus
accipitriformes_buteo_augur_00040.jpg,Accipitriformes,Buteo Augur,Buteo sp.
charadriiformes_calidris_canutus_00143.jpg,Charadriiformes,Calidris Canutus,Calidris Canutus
passeriformes_turdus_viscivorus_00020.jpg,Passeriformes,Turdus Viscivorus,Turdus sp.
anseriformes_spatula_clypeata_00004.jpg,Anseriformes,Spatula Clypeata,Spatula Clypeata
charadriiformes_charadrius_hiaticula_00014.jpg,Charadriiformes,Charadrius Hiaticula,Charadrius Hiaticula
charadriiformes_actitis_hypoleucos_00122.jpg,Charadriiformes,Actitis Hypoleucos,Actitis Hypoleucos
anseriformes_aythya_marila_00041.jpg,Anseriformes,Aythya Marila,Aythya Marila
charadriiformes_actitis_hypoleucos_00132.jpg,Charadriiformes,Actitis Hypoleucos,Actitis Hypoleucos
accipitriformes_accipiter_gentilis_00127.jpg,Accipitriformes,Accipiter Gentilis,Accipiter Gentilis
anseriformes_anser_caerulescens_00018.jpg,Anseriformes,Anser Caerulescens,Anser Caerulescens
ciconiiformes_botaurus_stellaris_00037.jpg,Ciconiiformes,Botaurus Stellaris,Botaurus Stellaris
passeriformes_mandingoa_nitidula_00014.jpg,Passeriformes,Mandingoa Nitidula,Estrildidae
caprimulgiformes_caprimulgus_poliocephalus_00008.jpg,Caprimulgiformes,Caprimulgus Poliocephalus,Caprimulgus sp.
anseriformes_aythya_americana_00020.jpg,Anseriformes,Aythya Americana,Aythya sp.
ciconiiformes_nycticorax_nycticorax_00012.jpg,Ciconiiformes,Nycticorax Nycticorax,Ardeidae
passeriformes_acrocephalus_schoenobaenus_00036.jpg,Passeriformes,Acrocephalus Schoenobaenus,Acrocephalus Schoenobaenus
apodiformes_archilochus_colubris_00039.jpg,Apodiformes,Archilochus Colubris,Trochilidae
gruiformes_fulica_atra_00043.jpg,Gruiformes,Fulica Atra,Fulica Atra
strigiformes_bubo_bubo_00069.jpg,Strigiformes,Bubo Bubo,Bubo Bubo
gruiformes_fulica_atra_00041.jpg,Gruiformes,Fulica Atra,Fulica Atra
gruiformes_otis_tarda_00022.jpg,Gruiformes,Otis Tarda,Otis Tarda
piciformes_dendrocopos_major_00101.jpg,Piciformes,Dendrocopos Major,Dendrocopos Major
anseriformes_clangula_hyemalis_00025.jpg,Anseriformes,Clangula Hyemalis,Clangula Hyemalis
passeriformes_bombycilla_garrulus_00076.jpg,Passeriformes,Bombycilla Garrulus,Bombycilla Garrulus
apodiformes_apus_apus_00177.jpg,Apodiformes,Apus Apus,Apus Apus
charadriiformes_calidris_melanotos_00033.jpg,Charadriiformes,Calidris Melanotos,Calidris sp.
caprimulgiformes_caprimulgus_climacurus_00078.jpg,Caprimulgiformes,Caprimulgus Climacurus,Caprimulgus Climacurus
anseriformes_clangula_hyemalis_00064.jpg,Anseriformes,Clangula Hyemalis,Clangula Hyemalis
gruiformes_rallus_aquaticus_00057.jpg,Gruiformes,Rallus Aquaticus,Rallus Aquaticus
columbiformes_columba_livia_00038.jpg,Columbiformes,Columba Livia,Columba Livia
anseriformes_cygnus_buccinator_00024.jpg,Anseriformes,Cygnus Buccinator,Cygnus sp.
passeriformes_lanius_collurio_00053.jpg,Passeriformes,Lanius Collurio,Lanius Collurio
anseriformes_anser_fabalis_00008.jpg,Anseriformes,Anser Fabalis,Anser Fabalis
anseriformes_anser_albifrons_00076.jpg,Anseriformes,Anser Albifrons,Anser Albifrons
charadriiformes_charadrius_hiaticula_00009.jpg,Charadriiformes,Charadrius Hiaticula,Charadrius Hiaticula
caprimulgiformes_caprimulgus_europaeus_00147.jpg,Caprimulgiformes,Caprimulgus Europaeus,Caprimulgus Europaeus
passeriformes_corvus_frugilegus_00050.jpg,Passeriformes,Corvus Frugilegus,Corvus Frugilegus
accipitriformes_accipiter_gentilis_00022.jpg,Accipitriformes,Accipiter Gentilis,Accipiter Gentilis
passeriformes_turdus_philomelos_00019.jpg,Passeriformes,Turdus Philomelos,Turdus Philomelos
