filename,order,species
coraciiformes_coracias_cyanogaster_00067.jpg,Coraciiformes,Coracias Cyanogaster
strigiformes_asio_flammeus_00059.jpg,Strigiformes,Asio Flammeus
accipitriformes_accipiter_gentilis_00331.jpg,Accipitriformes,Accipiter Gentilis
procellariiformes_puffinus_tenuirostris_00021.jpg,Procellariiformes,Puffinus Tenuirostris
anseriformes_anser_anser_00105.jpg,Anseriformes,Anser Anser
accipitriformes_milvus_milvus_00066.jpg,Accipitriformes,Milvus Milvus
anseriformes_anas_platyrhynchos_00036.jpg,Anseriformes,Anas Platyrhynchos
passeriformes_lanius_excubitor_00066.jpg,Passeriformes,Lanius Excubitor
charadriiformes_numenius_arquata_00004.jpg,Charadriiformes,Numenius Arquata
charadriiformes_larus_fuscus_00085.jpg,Charadriiformes,Larus Fuscus
strigiformes_asio_otus_00222.jpg,Strigiformes,Asio Otus
charadriiformes_charadrius_hiaticula_00054.jpg,Charadriiformes,Charadrius Hiaticula
accipitriformes_circus_cyaneus_00181.jpg,Accipitriformes,Circus Cyaneus
apodiformes_apus_apus_00133.jpg,Apodiformes,Apus Apus
phoenicopteriformes_phoenicopterus_ruber_00079.jpg,Phoenicopteriformes,Phoenicopterus Ruber
gaviiformes_gavia_pacifica_00075.jpg,Gaviiformes,Gavia Pacifica
coraciiformes_alcedo_atthis_00144.jpg,Coraciiformes,Alcedo Atthis
charadriiformes_larus_crassirostris_00034.jpg,Charadriiformes,Larus Crassirostris
accipitriformes_circus_cyaneus_00123.jpg,Accipitriformes,Circus Cyaneus
charadriiformes_haematopus_ostralegus_00129.jpg,Charadriiformes,Haematopus Ostralegus
charadriiformes_calidris_alpina_00025.jpg,Charadriiformes,Calidris Alpina
strigiformes_otus_scops_00015.jpg,Strigiformes,Otus Scops
strigiformes_asio_otus_00312.jpg,Strigiformes,Asio Otus
anseriformes_anser_anser_00111.jpg,Anseriformes,Anser Anser
passeriformes_acrocephalus_schoenobaenus_00079.jpg,Passeriformes,Acrocephalus Schoenobaenus
coraciiformes_alcedo_atthis_00141.jpg,Coraciiformes,Alcedo Atthis
piciformes_picus_viridis_00198.jpg,Piciformes,Picus Viridis
anseriformes_aix_galericulata_00014.jpg,Anseriformes,Aix Galericulata
ciconiiformes_botaurus_stellaris_00177.jpg,Ciconiiformes,Botaurus Stellaris
anseriformes_mergellus_albellus_00051.jpg,Anseriformes,Mergellus Albellus
accipitriformes_accipiter_nisus_00174.jpg,Accipitriformes,Accipiter Nisus
caprimulgiformes_caprimulgus_europaeus_00006.jpg,Caprimulgiformes,Caprimulgus Europaeus
charadriiformes_alca_torda_00122.jpg,Charadriiformes,Alca Torda
phoenicopteriformes_phoenicopterus_roseus_00156.jpg,Phoenicopteriformes,Phoenicopterus Roseus
piciformes_picus_viridis_00054.jpg,Piciformes,Picus Viridis
charadriiformes_larus_cachinnans_00013.jpg,Charadriiformes,Larus Cachinnans
passeriformes_regulus_regulus_00062.jpg,Passeriformes,Regulus Regulus
strigiformes_aegolius_funereus_00039.jpg,Strigiformes,Aegolius Funereus
anseriformes_aix_sponsa_00119.jpg,Anseriformes,Aix Sponsa
passeriformes_phoenicurus_ochruros_00057.jpg,Passeriformes,Phoenicurus Ochruros
piciformes_picus_viridis_00164.jpg,Piciformes,Picus Viridis
accipitriformes_accipiter_gentilis_00298.jpg,Accipitriformes,Accipiter Gentilis
accipitriformes_buteo_rufinus_00085.jpg,Accipitriformes,Buteo Rufinus
charadriiformes_pluvialis_squatarola_00232.jpg,Charadriiformes,Pluvialis Squatarola
strigiformes_tyto_alba_00051.jpg,Strigiformes,Tyto Alba
passeriformes_rhodopechys_obsoleta_00026.jpg,Passeriformes,Rhodopechys Obsoleta
anseriformes_anas_bahamensis_00082.jpg,Anseriformes,Anas Bahamensis
anseriformes_callonetta_leucophrys_00066.jpg,Anseriformes,Callonetta Leucophrys
piciformes_picus_viridis_00059.jpg,Piciformes,Picus Viridis
accipitriformes_circus_cyaneus_00215.jpg,Accipitriformes,Circus Cyaneus
anseriformes_anas_acuta_00016.jpg,Anseriformes,Anas Acuta
anseriformes_aix_galericulata_00068.jpg,Anseriformes,Aix Galericulata
passeriformes_acrocephalus_scirpaceus_00062.jpg,Passeriformes,Acrocephalus Scirpaceus
charadriiformes_hydrocoloeus_minutus_00116.jpg,Charadriiformes,Hydrocoloeus Minutus
anseriformes_aix_galericulata_00149.jpg,Anseriformes,Aix Galericulata
anseriformes_aythya_fuligula_00033.jpg,Anseriformes,Aythya Fuligula
accipitriformes_aquila_chrysaetos_00031.jpg,Accipitriformes,Aquila Chrysaetos
accipitriformes_accipiter_gentilis_00414.jpg,Accipitriformes,Accipiter Gentilis
anseriformes_aix_galericulata_00275.jpg,Anseriformes,Aix Galericulata
strigiformes_asio_otus_00093.jpg,Strigiformes,Asio Otus
galliformes_bonasia_bonasia_00076.jpg,Galliformes,Bonasia Bonasia
strigiformes_asio_flammeus_00101.jpg,Strigiformes,Asio Flammeus
passeriformes_acrocephalus_scirpaceus_00114.jpg,Passeriformes,Acrocephalus Scirpaceus
galliformes_bonasia_bonasia_00078.jpg,Galliformes,Bonasia Bonasia
ciconiiformes_ardea_alba_00041.jpg,Ciconiiformes,Ardea Alba
passeriformes_bombycilla_garrulus_00061.jpg,Passeriformes,Bombycilla Garrulus
passeriformes_carduelis_carduelis_00313.jpg,Passeriformes,Carduelis Carduelis
